ID;type;transition;z;ez;FWHM;eFWHM;SdV;eSdV;L_transition;eL_transition;magnification;err_magnification;reference
RXJ0911.4+0551;QSO;12CO(1-0);2.7961;0.0001;111;19;205;29;75508265857;10681657121;18.1;3.6;Riechers et al. (2011f)
RXJ0911.4+0551;QSO;HCN(1-0);2.8;;550;;29;99;18109685197;99;18.1;3.6;Gao et al. (2007)
IRASF10214+4724;QSO;12CO(1-0);2.2853;0.0001;169;39;434;47;1.13456E+11;12286742328;17;;Riechers et al. (2011f)
IRASF10214+4724;QSO;HCN(1-0);2.2858;0.0002;140;30;0.05;0.01;22117464374;4423492875;17;;Vanden Bout et al. (2004)
BRI1202-0725;QSO;12CO(1-0);4.6949;0.0003;333;30;0.12;0.01;1,015E+14;8417115914;1;;Riechers et al. (2006c)
BRI1202-0725;QSO;HCN(1-0);4.69;0.01;;;31;99;44065204845;99;1;;Isaak et al. (2004)
VCVJ14096+5628;QSO;12CO(1-0);2.5836;0.0005;487;101;0.27;0.07;87076451688;22575376363;1;;Sharon et al. (2016)
VCVJ14096+5628;QSO;HCN(1-0);2.5758;0.0001;177;80;13;4;7055352485;2170877688;1;;Carilli et al. (2005)
H1413+117;QSO;12CO(1-0);2.5564;0.0004;468;94;1.378;0.25;4.36513E+11;79193244280;11;;Riechers et al. (2011f)
H1413+117;QSO;HCN(1-0);2.5569;0.0006;;;69;12;36983100447;6431843556;11;;Solomon et al. (2003)
SMMJ02399-0136;SMG;12CO(1-0);2.808;2;;;0.7;0.18;2.59667E+11;66771393181;2.5;;Ivison et al. (2010)a
SMMJ02396-0134;SMG;HCN(1-0);1.062;1;;;73;99;7857844877;99;2.5;;Gao et al. (2007)
SMMJ02399-0136;SMG;12CO(1-0);2.8083;0.0007;824;;0.6;0.12;2.22611E+11;44522194118;2.5;;Thomson et al. (2012)
SMMJ02399-0136;SMG;HCN(1-0);2.803;3;;;0.08;99;50047093138;99;2.5;;Greve et al. (2006)
SMMJ04135+1027;SMG;12CO(1-0);2.847;0.0004;505;75;644;82;2.44446E+11;31125063703;1.6;;Riechers et al. (2011f)
SMMJ04135+1027;SMG;HCN(1-0);2.837;3;550;;0.05;99;31914298395;99;1.6;;Gao et al. (2007)
SMMJ14011+0252;SMG;12CO(1-0);2.5653;0.0001;151;19;0.32;0.03;1.01966E+11;9559356232;5;;Sharon et al. (2013)
SMMJ14011+0252;SMG;HCN(1-0);2.562;2;;;0.02;99;10756022741;99;5;;Carilli et al. (2005)
H-ATLASJ090740.0-004200;SMG;12CO(1-0);1.575;5;;;1;0.2;1.3449E+11;26881731159;5.8;2.9;Oteo et al. (2017)
H-ATLASJ090740.0-004200;SMG;HCN(1-0);1.575;5;;;0.17;0.06;38648994703;13640821659;5.8;2.9;Oteo et al. (2017)
SMMJ2135-0102;SMG;12CO(1-0);2.3259;0.0001;;;2.16;0.11;5.82111E+11;29644522528;32.5;4.5;Danielson et al. (2011)
SMMJ2135-0102;SMG;HCN(1-0);2.3259;0.0001;;;0.3;99;1.36752E+11;99;32.5;4.5;Danielson et al. (2011)
NGC0034;ULIRG;HCN(1-0);0.02;;;;3.74;0.63;123716078;20839874.11;1;;Privon et al. (2015)
IC1623;ULIRG;HCN(1-0);0.02;;;;7.96;0.79;263310155.4;26132540.55;1;;Privon et al. (2015)
IC214;ULIRG;HCN(1-0);0.03;;;;1.9;0.53;142116203.9;39642941.09;1;;Privon et al. (2015)
NGC1797;ULIRG;HCN(1-0);0.01;;;;3.8;0.9;31265914.42;7405084.995;1;;Privon et al. (2015)
NGC2342;ULIRG;HCN(1-0);0.02;;;;3.59;0.58;118754203.3;19185915.85;1;;Privon et al. (2015)
UGC03094;ULIRG;HCN(1-0);0.02;;;;2.21;99;73104955.21;99;1;;Privon et al. (2015)
NGC0958;ULIRG;HCN(1-0);0.02;;;;3.74;99;123716078;99;1;;Privon et al. (2015)
NGC5104;ULIRG;HCN(1-0);0.02;;;;6.49;1.16;214683782.5;38371831.69;1;;Privon et al. (2015)
IRASF05189-2524;ULIRG;HCN(1-0);0.04;;;;3.85;0.69;514432168.5;92196934.1;1;;Privon et al. (2015)
IRAS01364-1042;ULIRG;HCN(1-0);0.05;;;;3.74;99;784525287.9;99;1;;Privon et al. (2015)
VIIZw031;ULIRG;HCN(1-0);0.05;;;;5.17;99;1084490839;99;1;;Privon et al. (2015)
ESO550-IG025;ULIRG;HCN(1-0);0.03;;;;2.37;0.58;177271264.9;43382841.2;1;;Privon et al. (2015)
IRASF05187-1017;ULIRG;HCN(1-0);0.03;;;;3.96;0.58;296200088.2;43382841.2;1;;Privon et al. (2015)
IRASF06076-2139;ULIRG;HCN(1-0);0.04;;;;5.54;1.05;740247847.7;140299682.3;1;;Privon et al. (2015)
MCG-03-04-014;ULIRG;HCN(1-0);0.03;;;;4.96;0.63;370998090.2;47122741.3;1;;Privon et al. (2015)
IRAS09111-1007W;ULIRG;HCN(1-0);0.06;;;;3.16;0.42;958918886.7;127451244.4;1;;Privon et al. (2015)
IRAS09111-1007E;ULIRG;HCN(1-0);0.06;;;;1.9;99;576565153.4;99;1;;Privon et al. (2015)
IRASF12224-0624;ULIRG;HCN(1-0);0.03;;;;2.9;99;216914206;99;1;;Privon et al. (2015)
IC4280;ULIRG;HCN(1-0);0.02;;;;5.01;1.11;165726617.9;36717873.43;1;;Privon et al. (2015)
UGC11041;ULIRG;HCN(1-0);0.02;;;;7.96;1.37;263310155.4;45318456.4;1;;Privon et al. (2015)
UGC12150;ULIRG;HCN(1-0);0.02;;;;7.17;0.9;237177614.9;29771248.73;1;;Privon et al. (2015)
IRASF22491-1808;ULIRG;HCN(1-0);0.08;;;;4.32;99;2351261449;99;1;;Privon et al. (2015)
IRASF14348-1447;ULIRG;HCN(1-0);0.08;;;;2.74;99;1491309345;99;1;;Privon et al. (2015)
UGC08739;ULIRG;HCN(1-0);0.02;;;;6.86;0.9;226923073.6;29771248.73;1;;Privon et al. (2015)
NGC5331;ULIRG;HCN(1-0);0.03;;;;3.53;0.53;264036947.3;39642941.09;1;;Privon et al. (2015)
IRASF16164-0746;ULIRG;HCN(1-0);0.02;;;;2.85;0.58;94275620.97;19185915.85;1;;Privon et al. (2015)
ESO507-G070;ULIRG;HCN(1-0);0.02;;;;6.43;1;212699032.6;33079165.25;1;;Privon et al. (2015)
CGCG247-020;ULIRG;HCN(1-0);0.03;;;;5.06;0.79;378477890.5;59090421.63;1;;Privon et al. (2015)
CGCG049-057;ULIRG;HCN(1-0);0.01;;;;16.93;1.69;139297876.6;13905104.05;1;;Privon et al. (2015)
IRAS07251-0248;ULIRG;HCN(1-0);0.09;;;;1.85;0.58;1279805078;401236186.8;1;;Privon et al. (2015)
CGCG453-062;ULIRG;HCN(1-0);0.02;;;;5.12;0.84;169365326.1;27786498.81;1;;Privon et al. (2015)
NGC6907;ULIRG;HCN(1-0);0.01;;;;12.08;1.63;99392696.38;13411431.71;1;;Privon et al. (2015)
ESO593-IG008;ULIRG;HCN(1-0);0.05;;;;5.17;99;1084490839;99;1;;Privon et al. (2015)
IRAS21101+5810;ULIRG;HCN(1-0);0.04;;;;2.79;0.47;372796298.8;62800810.18;1;;Privon et al. (2015)
IRASF16399-0937;ULIRG;HCN(1-0);0.03;;;;4.06;0.53;303679888.4;39642941.09;1;;Privon et al. (2015)
CGCG141-034;ULIRG;HCN(1-0);0.02;;;;5.33;1.05;176311950.8;34733123.52;1;;Privon et al. (2015)
CGCG011-076;ULIRG;HCN(1-0);0.02;;;;5.75;0.79;190205200.2;26132540.55;1;;Privon et al. (2015)
CGCG052-037;ULIRG;HCN(1-0);0.02;;;;3.53;0.63;116769453.3;20839874.11;1;;Privon et al. (2015)
CGCG043-099;ULIRG;HCN(1-0);0.04;;;;2.85;99;380813423.5;99;1;;Privon et al. (2015)
ESO602-G025;ULIRG;HCN(1-0);0.02;;;;4.43;1.11;146540702.1;36717873.43;1;;Privon et al. (2015)
NGC6286;ULIRG;HCN(1-0);0.02;;;;8.6;1.16;284480821.2;38371831.69;1;;Privon et al. (2015)
NGC5257;ULIRG;HCN(1-0);0.02;;;;2.06;0.53;68143080.42;17531957.58;1;;Privon et al. (2015)
NGC5258;ULIRG;HCN(1-0);0.02;;;;2.27;0.53;75089705.13;17531957.58;1;;Privon et al. (2015)
MCG-02-01-051;ULIRG;HCN(1-0);0.03;;;;0.9;0.26;67318201.86;19447480.54;1;;Privon et al. (2015)
MCG-02-01-052;ULIRG;HCN(1-0);0.03;;;;3.01;0.69;225141986.2;51610621.43;1;;Privon et al. (2015)
NGC2623;ULIRG;HCN(1-0);0.02;;;;13.82;2.53;457154063.8;83690288.09;1;;Privon et al. (2015)
NGC7591;ULIRG;HCN(1-0);0.02;;;;7.12;0.95;235523656.6;31425206.99;1;;Privon et al. (2015)
NGC5936;ULIRG;HCN(1-0);0.01;;;;6.38;0.84;52493824.74;6911412.662;1;;Privon et al. (2015)
NGC6701;ULIRG;HCN(1-0);0.01;;;;14.61;1.16;120209213.1;9544331.772;1;;Privon et al. (2015)
IRASF17138-1017;ULIRG;HCN(1-0);0.02;;;;4.38;0.53;144886743.8;17531957.58;1;;Privon et al. (2015)
IRAS18090+0130;ULIRG;HCN(1-0);0.03;;;;3.53;0.53;264036947.3;39642941.09;1;;Privon et al. (2015)
IRASF23365+3604;ULIRG;HCN(1-0);0.06;;;;4.27;1.42;1295754318;430906588.3;1;;Privon et al. (2015)
UGC05101;ULIRG;HCN(1-0);0.04;;;;11.44;1.05;1528598444;140299682.3;1;;Privon et al. (2015)